BillingCountry,BillingPostalCode,BillingStreet,BillingCity,BillingState,Country,lon,lat,latlong,Address
Japan,336-0021,沼影一丁目１−９,さいたま市南区,埼玉県,JP,139.64430793,35.84212649,"35.84212649,139.64430793",埼玉県さいたま市南区沼影一丁目１−９
Japan,343-0021,大沢四丁目３−３,越谷市,埼玉県,JP,139.78764894,35.90106651,"35.90106651,139.78764894",埼玉県越谷市大沢四丁目３−３
Japan,110-0016,池之端一丁目２−６,台東区,東京都,JP,139.76807,35.70886542,"35.70886542,139.76807",東京都台東区池之端一丁目２−６
Japan,277-0931,東中新宿一丁目２−９,柏市,千葉県,JP,139.96142698,35.8330283,"35.8330283,139.96142698",千葉県柏市東中新宿一丁目２−９
Japan,444-0932,夏山町一丁目１−６,岡崎市,愛知県,JP,137.32003743,34.94825951,"34.94825951,137.32003743",愛知県岡崎市夏山町一丁目１−６
Japan,445-0014,白浜新田二丁目３−３,西尾市,愛知県,JP,137.08145332,34.78585593,"34.78585593,137.08145332",愛知県西尾市白浜新田二丁目３−３
Japan,144-0041,大森西二丁目３−７,大田区,東京都,JP,139.7303022,35.57641804,"35.57641804,139.7303022",東京都大田区大森西二丁目３−７
Japan,815-0072,清水三丁目１−７,福岡市南区,福岡県,JP,130.42120919,33.56968395,"33.56968395,130.42120919",福岡県福岡市南区清水三丁目１−７
Japan,136-0076,毛利一丁目２−２,江東区,東京都,JP,139.81349968,35.69242659,"35.69242659,139.81349968",東京都江東区毛利一丁目２−２
Japan,703-8254,藤原光町二丁目３−７,岡山市中区,岡山県,JP,133.95390606,34.67903095,"34.67903095,133.95390606",岡山県岡山市中区藤原光町二丁目３−７
Japan,602-0807,東石屋町二丁目３−４,京都市上京区,京都府,JP,135.75001533,35.03215919,"35.03215919,135.75001533",京都府京都市上京区東石屋町二丁目３−４
Japan,813-0015,大字名子二丁目３−５,福岡市東区,福岡県,JP,130.47885239,33.6431812,"33.6431812,130.47885239",福岡県福岡市東区大字名子二丁目３−５
Japan,064-0920,南三十条西十丁目１−８,札幌市中央区,北海道,JP,141.34811731,43.01817422,"43.01817422,141.34811731",北海道札幌市中央区南三十条西十丁目１−８
Japan,210-0003,鈴木町二丁目２−３,川崎市川崎区,神奈川県,JP,139.72184204,35.53842715,"35.53842715,139.72184204",神奈川県川崎市川崎区鈴木町二丁目２−３
Japan,221-0062,六角橋四丁目２−９,横浜市神奈川区,神奈川県,JP,139.61762458,35.4836189,"35.4836189,139.61762458",神奈川県横浜市神奈川区六角橋四丁目２−９
Japan,320-0011,富士見が丘四丁目２−３,宇都宮市,栃木県,JP,139.88858868,36.58919834,"36.58919834,139.88858868",栃木県宇都宮市富士見が丘四丁目２−３
Japan,466-0815,大和町一丁目２−７,名古屋市昭和区,愛知県,JP,136.9343111,35.14467815,"35.14467815,136.9343111",愛知県名古屋市昭和区大和町一丁目２−７
Japan,277-0008,手賀の杜一丁目１−８,柏市,千葉県,JP,140.0279279,35.84929322,"35.84929322,140.0279279",千葉県柏市手賀の杜一丁目１−８
Japan,475-0926,宮本町六丁目２−８,半田市,愛知県,JP,136.90945807,34.88388945,"34.88388945,136.90945807",愛知県半田市宮本町六丁目２−８
Japan,533-0021,瑞光一丁目２−５,大阪市東淀川区,大阪府,JP,135.53475248,34.74943454,"34.74943454,135.53475248",大阪府大阪市東淀川区瑞光一丁目２−５
Japan,700-0067,西長瀬一丁目１−７,岡山市北区,岡山県,JP,133.87831029,34.64794124,"34.64794124,133.87831029",岡山県岡山市北区西長瀬一丁目１−７
Japan,321-3234,清原台一丁目１−５,宇都宮市,栃木県,JP,139.98616067,36.56463983,"36.56463983,139.98616067",栃木県宇都宮市清原台一丁目１−５
Japan,595-0046,助松町一丁目２−４,泉大津市,大阪府,JP,135.42201271,34.5166202,"34.5166202,135.42201271",大阪府泉大津市助松町一丁目２−４
Japan,475-0922,新池町二丁目２−９,半田市,愛知県,JP,136.93884574,34.92062884,"34.92062884,136.93884574",愛知県半田市新池町二丁目２−９
Japan,442-0012,新青馬町七丁目３−１,豊川市,愛知県,JP,137.32380569,34.83354321,"34.83354321,137.32380569",愛知県豊川市新青馬町七丁目３−１
Japan,524-0041,勝部六丁目２−３,守山市,滋賀県,JP,135.99462512,35.04813999,"35.04813999,135.99462512",滋賀県守山市勝部六丁目２−３
Japan,111-0056,元浅草二丁目１−７,台東区,東京都,JP,139.78372636,35.70951592,"35.70951592,139.78372636",東京都台東区元浅草二丁目１−７
Japan,208-0035,三ツ木二丁目２−２,武蔵村山市,東京都,JP,139.37112542,35.75852539,"35.75852539,139.37112542",東京都武蔵村山市三ツ木二丁目２−２
Japan,480-0123,中小口二丁目２−１,丹羽郡大口町,愛知県,JP,136.92094815,35.34249487,"35.34249487,136.92094815",愛知県丹羽郡大口町中小口二丁目２−１
Japan,524-0042,焔魔堂町二丁目１−５,守山市,滋賀県,JP,135.9835263,35.04979376,"35.04979376,135.9835263",滋賀県守山市焔魔堂町二丁目１−５
Japan,604-0085,西ノ京西月光町一丁目２−１,京都市中京区,京都府,JP,135.73617624,35.00901955,"35.00901955,135.73617624",京都府京都市中京区西ノ京西月光町一丁目２−１
Japan,320-0833,不動前五丁目３−３,宇都宮市,栃木県,JP,139.87884618,36.54271651,"36.54271651,139.87884618",栃木県宇都宮市不動前五丁目３−３
Japan,214-0012,生田八丁目１−５,川崎市多摩区,神奈川県,JP,139.54814093,35.61665524,"35.61665524,139.54814093",神奈川県川崎市多摩区生田八丁目１−５
Japan,130-0015,東向島六丁目１−６,墨田区,東京都,JP,139.8212857,35.72484946,"35.72484946,139.8212857",東京都墨田区東向島六丁目１−６
Japan,221-0042,泉町一丁目３−１,横浜市神奈川区,神奈川県,JP,139.62162181,35.4738183,"35.4738183,139.62162181",神奈川県横浜市神奈川区泉町一丁目３−１
Japan,372-0822,長沼町二丁目１−３,伊勢崎市,群馬県,JP,139.20823422,36.26573573,"36.26573573,139.20823422",群馬県伊勢崎市長沼町二丁目１−３
Japan,141-0031,戸越二丁目２−８,品川区,東京都,JP,139.72051043,35.61298904,"35.61298904,139.72051043",東京都品川区戸越二丁目２−８
Japan,639-0241,関屋北一丁目３−５,香芝市,奈良県,JP,135.67586532,34.56113655,"34.56113655,135.67586532",奈良県香芝市関屋北一丁目３−５
Japan,731-3165,八木三丁目３−８,広島市安佐南区,広島県,JP,132.4932365,34.4830736,"34.4830736,132.4932365",広島県広島市安佐南区八木三丁目３−８
Japan,812-0065,箱崎三丁目３−９,福岡市東区,福岡県,JP,130.42352065,33.6207328,"33.6207328,130.42352065",福岡県福岡市東区箱崎三丁目３−９
Japan,356-0024,川崎二丁目１−２,ふじみ野市,埼玉県,JP,139.52122341,35.88860084,"35.88860084,139.52122341",埼玉県ふじみ野市川崎二丁目１−２
Japan,276-0023,勝田台二丁目１−５,八千代市,千葉県,JP,140.12590082,35.7098795,"35.7098795,140.12590082",千葉県八千代市勝田台二丁目１−５
Japan,187-0031,回田町二丁目３−５,小平市,東京都,JP,139.49630784,35.71708812,"35.71708812,139.49630784",東京都小平市回田町二丁目３−５
Japan,594-0065,寺門町一丁目１−７,和泉市,大阪府,JP,135.43268362,34.47396218,"34.47396218,135.43268362",大阪府和泉市寺門町一丁目１−７
Japan,862-0941,出水四丁目３−３,熊本市中央区,熊本県,JP,130.7323312,32.78172123,"32.78172123,130.7323312",熊本県熊本市中央区出水四丁目３−３
Japan,174-0042,若木一丁目３−５,板橋区,東京都,JP,139.67306533,35.76863308,"35.76863308,139.67306533",東京都板橋区若木一丁目３−５
Japan,981-1227,愛の杜二丁目２−５,名取市,宮城県,JP,140.86215354,38.156495,"38.156495,140.86215354",宮城県名取市愛の杜二丁目２−５
