"Id","External_ID__c","Name"
"01t0b00000FxhidAAB","Product2.001","Battery, High Capacity"
"01t0b00000FxhieAAB","Product2.005","Small Turbine"
"01t0b00000FxhifAAB","Product2.007","Solar Panel"
"01t0b00000FxhigAAB","Product2.006","Large Turbine"
"01t0b00000FxhihAAB","Product2.012","Energy Meter"
"01t0b00000FxhiiAAB","Product2.002","Starter Kit"
"01t0b00000FxhijAAB","Product2.010","Power Inverter"
"01t0b00000FxhikAAB","Product2.020","Connector Cables"
"01t0b00000FxhilAAB","Product2.016","Battery, Low Capacity"
"01t0b00000FxhimAAB","Product2.019","Fuses (Set of 4)"
"01t0b00000FxhinAAB","Product2.018","Mounting System"
"01t0b00000FxhioAAB","Product2.004","Maintenance Contract"
"01t0b00000FxhipAAB","Product2.008","Remote Monitoring Subscription"
"01t0b00000FxhiqAAB","Product2.017","Onsite Labor"
"01t0b00000FxhirAAB","Product2.003","Installation Services"
"01t0b00000FxhisAAB","Product2.009","Intelligent Optimization Service License"
"01t0b00000FxhitAAB","Product2.015","Product C"
"01t0b00000FxhiuAAB","Product2.013","Product A"
"01t0b00000FxhivAAB","Product2.014","Product B"
