Id,External_ID__c,AccountId,FSLDemoTools_Service_Resource__c,ServiceTerritoryId,ParentRecordId,ActualStartTime,ArrivalWindowStartTime,ActualDuration,EarliestStartTime,Duration,DurationType,Status,DueDate,ActualEndTime,ArrivalWindowEndTime
08p0b000000MSrWAAW,,0010b00002CfRBbAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRHGA4,2017-02-23T22:39:00.000Z,2017-02-23T22:39:00.000Z,14,2017-02-23T22:39:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-25T09:48:00.000Z,2017-02-23T23:39:00.000Z
08p0b000000MSrXAAW,,0010b00002CfRBlAAN,0Hn0b000000TgY1CAK,0Hh0b000000LFOGCA4,0WO0b000000VCRIGA4,2017-02-23T16:00:00.000Z,2017-02-23T16:00:00.000Z,61,2017-02-23T16:00:00.000Z,60,Minutes,Scheduled,2017-05-23T07:00:00.000Z,2017-02-25T02:34:00.000Z,2017-02-23T17:00:00.000Z
08p0b000000MSrYAAW,,0010b00002CfRBpAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRJGA4,2017-02-22T16:00:00.000Z,2017-02-22T16:00:00.000Z,50,2017-02-22T16:00:00.000Z,120,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-28T07:39:00.000Z,2017-02-22T18:00:00.000Z
08p0b000000MSrZAAW,,0010b00002CfRBqAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRKGA4,2017-02-22T18:20:00.000Z,2017-02-22T18:20:00.000Z,68,2017-02-22T18:20:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-25T22:19:00.000Z,2017-02-22T19:20:00.000Z
08p0b000000MSraAAG,,0010b00002CfRCKAA3,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRLGA4,2017-02-22T20:27:00.000Z,2017-02-22T20:27:00.000Z,11,2017-02-22T20:27:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-25T08:19:00.000Z,2017-02-22T21:27:00.000Z
08p0b000000MSrbAAG,,0010b00002CfRBzAAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRMGA4,2017-02-22T21:43:00.000Z,2017-02-22T21:43:00.000Z,61,2017-02-22T21:43:00.000Z,60,Minutes,Scheduled,2017-05-23T07:00:00.000Z,2017-02-25T07:55:00.000Z,2017-02-22T22:43:00.000Z
08p0b000000MSrcAAG,,0010b00002CfRCkAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRNGA4,2017-02-22T22:10:00.000Z,2017-02-22T22:10:00.000Z,34,2017-02-22T22:10:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-02-24T00:36:00.000Z,2017-02-22T23:10:00.000Z
08p0b000000MSrdAAG,,0010b00002CfRC8AAN,0Hn0b000000TgXwCAK,0Hh0b000000LFOGCA4,0WO0b000000VCROGA4,2017-03-07T20:39:00.000Z,2017-03-07T20:39:00.000Z,80,2017-03-07T20:39:00.000Z,60,Minutes,Completed,2017-03-09T05:48:00.000Z,2017-03-09T05:49:00.000Z,2017-03-07T21:39:00.000Z
08p0b000000MSreAAG,,0010b00002CfRBqAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRPGA4,2017-03-07T18:35:00.000Z,2017-03-07T18:35:00.000Z,3,2017-03-07T18:35:00.000Z,90,Minutes,Dispatched,2017-05-23T07:00:00.000Z,2017-03-10T22:36:00.000Z,2017-03-07T20:05:00.000Z
08p0b000000MSrfAAG,,0010b00002CfRByAAN,0Hn0b000000TgXtCAK,0Hh0b000000LFOGCA4,0WO0b000000VCRQGA4,2017-03-07T20:39:00.000Z,2017-03-07T20:39:00.000Z,51,2017-03-07T20:39:00.000Z,60,Minutes,Completed,2017-05-23T07:00:00.000Z,2017-03-09T07:44:00.000Z,2017-03-07T21:39:00.000Z
