"Account.Name","BillingCity","BillingCountry","BillingPostalCode","BillingState","BillingStreet","CustomerSigned.Name","CompanyAuthorizedBy.Name","Owner.External_Id__c","CustomerAuthorizedBy.Name","EffectiveDate","EndDate","Name","Owner.Name","Pricebook.Name","ShippingCity","ShippingCountry","ShippingPostalCode","ShippingState","ShippingStreet","ShipToContact.Name","Status","Type","SalesAgreement.External_Id__c","External_Id__c","LastProcessedDate","analyticsdemo_batch_id__c"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2019-07-04",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.1","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2019-08-14",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.2","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2019-09-17",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.3","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2019-10-10",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.4","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2019-11-17",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.5","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2019-12-19",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.6","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2020-01-20",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.7","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2020-01-24",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.8","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2020-03-11",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.9","2019-11-15","20191024191458752523"
"Ohana, Inc.","01uB00000011k0XIAQ",2,4887,,,,,,,"2020-03-23",,,"Admin User","Manufacturing Cloud",,,,,,,"Draft",,"MFG_SalesAgreement.49","MFG_Order.10","2019-11-15","20191024191458752523"
