Month,Store,Item,City,Average Age,Percent Male,Competition,Daily Revenue,Marketing Campaign,Reg Price,Discount,Price,Quantity,Cost,Profit,Profit Linear,Profit Log,Outlier
January,New York 4,Cables,New York,35,0.476244665,High,8982,Friends & Family,20,0.1,18,499,10,3992,61.44742567,6.664804903,FALSE
January,New York 3,Cables,New York,55,0.55501804,Low,8892,Friends & Family,20,0.1,18,494,10,3952,61.43292241,6.656710588,FALSE
January,New York 2,Cables,New York,55,0.497466619,High,10782,Regional,20,0.1,18,599,10,4792,61.73749094,6.81161584,FALSE
January,New York 1,Cables,New York,19,0.556886244,Normal,5994,Door Buster,20,0.1,18,333,10,2664,60.96591733,6.339713786,FALSE
January,Chicago 3,Cables,Chicago,41,0.49626472,Normal,6480,Door Buster,20,0.1,18,360,10,2880,61.04423495,6.402376049,FALSE
January,Chicago 2,Cables,Chicago,60,0.438335738,High,4788,Door Buster,20,0.1,18,266,10,2128,60.7715736,6.159152478,FALSE
January,Chicago 1,Cables,Chicago,47,0.484901613,Low,8928,Friends & Family,20,0.1,18,496,10,3968,61.43872371,6.659958102,FALSE
January,Boston 2,Cables,Boston,43,0.564022992,Low,9594,Door Buster,20,0.1,18,533,10,4264,61.54604786,6.717784917,FALSE
January,Boston 1,Cables,Boston,37,0.537586988,Low,12510,Regional,20,0.1,18,695,10,5560,62.01595359,6.93109476,FALSE
January,New York 4,Cameras,New York,26,0.413318546,High,82080,Friends & Family,300,0.1,270,304,150,36480,73.22697607,8.443098225,FALSE
January,New York 3,Cameras,New York,71,0.573934804,High,52110,Door Buster,300,0.1,270,193,150,23160,68.39738941,8.077920526,FALSE
January,New York 2,Cameras,New York,66,0.491190061,High,105300,Friends & Family,300,0.1,270,390,150,46800,76.96881798,8.643329803,FALSE
January,New York 1,Cameras,New York,45,0.506267227,Low,79650,Friends & Family,300,0.1,270,295,150,35400,72.83538796,8.418943393,FALSE
January,Chicago 3,Cameras,Chicago,40,0.458597229,Low,70740,Door Buster,300,0.1,270,262,150,31440,71.3995649,8.323592821,FALSE
January,Chicago 2,Cameras,Chicago,65,0.475429956,High,79650,Friends & Family,300,0.1,270,295,150,35400,72.83538796,8.418943393,FALSE
