"Id","Name"
"00e6A000001YQoEQAW","FSL Optimization"
"00e6A000001YQoFQAW","*Marketing"
"00e6A000001YQoGQAW","*Partners"
"00e6A000001YQoHQAW","*Platform"
"00e6A000001YQoIQAW","Chatter External User"
"00e6A000001YQoJQAW","*Service"
"00e6A000001YQoKQAW","Community Member - Login-based"
"00e6A000001YQoLQAW","*Customer Community - Members"
"00e6A000001YQoMQAW","Consumer Community1502890632521 Profile"
"00e6A000001YQoNQAW","Marketing User"
"00e6A000001YQoOQAW","System Administrator"
"00e6A000001YQoPQAW","Trial User"
"00e6A000001YQoQQAW","*Customer Community"
"00e6A000001YQoRQAW","*Channels"
"00e6A000001YQoSQAW","Standard User"
"00e6A000001YQoTQAW","Sales Only"
"00e6A000001YQoUQAW","Solution Manager"
"00e6A000001YQoVQAW","Chatter Only"
"00e6A000001YQoWQAW","Orders Specialist"
"00e6A000001YQoXQAW","Partner Community User"
"00e6A000001YQoYQAW","*Sales"
"00e6A000001YQoZQAW","*Guest Community"
"00e6A000001YQoaQAG","Customer Portal Manager"
"00e6A000001YQobQAG","Partner User"
"00e6A000001YQodQAG","Analytics Cloud Integration User"
"00e6A000001YQofQAG","Analytics Cloud Security User"
"00e6A000001YQohQAG","Service Cloud"
"00e6A000001YQolQAG","Ω - Public Profile"
"00e6A000001YQomQAG","Ω - Customers Profile"
"00e6A000001YQonQAG","Ω - Partners Profile"
"00e6A000001YQooQAG","Ω - Survey Profile"
"00e6A000001YQopQAG","Ω - iPadApp Profile"
"00e6A000001YQoqQAG","Chatter Free User"
"00e6A000001YQorQAG","Company Website Profile"
"00e6A000001YQosQAG","Ω - PKB Profile"
"00e6A000001YQotQAG","Ω - Social Support Profile"
"00e6A000001YQouQAG","High Volume Customer Portal User"
"00e6A000001YQovQAG","Ω - Partner Profile"
"00e6A000001YQowQAG","Ω - Customer Profile"
"00e6A000001YQoxQAG","Ω - Legacy 1 Profile"
"00e6A000001YQoyQAG","Ω - Social Profile"
"00e6A000001YQozQAG","Customer Community User"
"00e6A000001YQp0QAG","Ω - Legacy 5 Profile"
"00e6A000001YQp1QAG","Ω - Legacy 3 Profile"
"00e6A000001YQp2QAG","Consumer Community Profile"
"00e6A000001YQp3QAG","test Profile"
"00e6A000001YQp4QAG","Force.com - One App User"
"00e6A000001YQp5QAG","Marketing Cloud API"
"00e6A000001YQp6QAG","Professional Community Profile"
"00e6A000001YQp7QAG","Partner Central Profile"
"00e6A000001YQp8QAG","employees Profile"
"00e6A000001YQp9QAG","Sales Insights Integration User"
"00e6A000001YQpAQAW","Basic Customer Portal Manager"
"00e6A000001YQpBQAW","Gold Partner User"
"00e6A000001YQpCQAW","Partner Community Login User"
"00e6A000001YQpDQAW","Silver Partner User"
"00e6A000001YQpEQAW","Standard Partner"
"00e6A000001YQpFQAW","Bronze Partner User"
"00e6A000001YQpGQAW","Company Communities User"
"00e6A000001YQpHQAW","Chatter Moderator User"
"00e6A000001YQpIQAW","Chatter Only User"
"00e6A000001YQpJQAW","Content Only User"
"00e6A000001YQpKQAW","Contract Manager"
"00e6A000001YQpLQAW","Cross Org Data Proxy User"
"00e6A000001YQpMQAW","Database.com Admin User"
"00e6A000001YQpNQAW","Force.com - Free User"
"00e6A000001YQpOQAW","Database.com Light User"
"00e6A000001YQpPQAW","Database.com User"
"00e6A000001YQpQQAW","Force.com - App Subscription User"
"00e6A000001YQpRQAW","Knowledge Only User"
"00e6A000001YQpSQAW","Partner App Subscription User"
"00e6A000001YQpTQAW","Read Only"
"00e6A000001YQpUQAW","Service Cloud User"
"00e6A000001YQpVQAW","Siteforce Only User"
"00e6A000001YQpWQAW","Standard Platform One App User"
"00e6A000001YQpXQAW","Standard Platform User"
"00e6A000001YQpYQAW","Work.com Only User"
"00e6A000001YQpZQAW","Customer Community Login User"
"00e6A000001YQpaQAG","High Volume Customer Portal"
"00e6A000001YQpbQAG","Customer Community Plus User"
"00e6A000001YQpcQAG","Standard Customer Portal Manager"
"00e6A000001YQpdQAG","Internal Portal User"
"00e6A000001YQpeQAG","Customer Portal User"
"00e6A000001YQpfQAG","High Volume Portal"
"00e6A000001YQpgQAG","Authenticated Website"
"00e6A000001YQphQAG","Guest License User"
"00e6A000001YQpiQAG","Standard Guest"
