"Id","Name"
"01tB0000000mFmEIAU","Battery, High Capacity"
"01tB0000000mFmJIAU","Energy Meter"
"01tB0000000mFmKIAU","Starter Kit"
"01tB0000000mFmLIAU","Power Inverter"
"01tB0000000mFmMIAU","Connector Cables"
"01tB0000000mFmOIAU","Fuses (Set of 4)"
"01tB0000000mFmRIAU","Maintenance Contract"
"01tB0000000mFmXIAU","16"" Trenching Bucket"
"01tB0000000mFnQIAU","Installation Services"
"01tB0000000mFnRIAU","Intelligent Optimization Service License"
"01tB0000000mFnSIAU","Product C"
"01tB0000000mFnTIAU","Product A"
"01tB0000000mFnUIAU","Product B"
"01tB0000000mFnVIAU","Backhoe Attachment R1"
"01tB0000000mFnWIAU","Backhoe Attachment R2"
"01tB0000000mFnfIAE","Trencher T36"
"01tB0000000mFngIAE","Trencher T48"
"01tB0000000mFnhIAE","Trencher T60"
"01tB0000000mFniIAE","Compactor 3500"
"01tB0000000mFnjIAE","Compactor 9000"
"01tB0000000mFnkIAE","Hammer H500"
"01tB0000000mFnlIAE","Hammer H700"
"01tB0000000mFnmIAE","Pulverizer P10"
"01tB0000000mFnnIAE","Pulverizer P20"
"01tB0000000mFnoIAE","Compactor 9500"
"01tB0000000mFnpIAE","Ripper 27"
"01tB0000000mFnqIAE","Ripper 34"
"01tB0000000mFnrIAE","Sweeper S1000"
"01tB0000000mFnsIAE","Pickup Broom PB100"
"01tB0000000mFntIAE","Utility Broom UB1000"
"01tB0000000mFnuIAE","Ripper 19"
"01tB0000000mFnvIAE","Ripper 37"
"01tB0000000mFnwIAE","Pickup Broom PB200"
